Abacus,icons/commodities/treasure/broach-jewel-gold-blue.webp
Aberrant Ground,icons/magic/air/wind-tornado-funnel-damage-blue.webp
Ability Score Improvement,icons/skills/melee/weapons-crossed-swords-white-blue.webp
Acid,icons/consumables/potions/bottle-round-corked-green.webp
Acid Absorption,icons/magic/unholy/orb-smoking-green.webp
Acid Arrow,systems/dnd5e/icons/spells/needles-acid-2.jpg
Acid Breath,icons/magic/acid/projectile-smoke-glowing.webp
Acid Splash,systems/dnd5e/icons/spells/fireball-acid-1.jpg
Acid Spray,icons/magic/acid/projectile-smoke-glowing.webp
Action Surge,icons/skills/social/intimidation-impressing.webp
Adamantine Breastplate,icons/equipment/chest/breastplate-layered-steel-black.webp
Adamantine Chain Mail,icons/equipment/chest/breastplate-metal-scaled-grey.webp
Adamantine Chain Shirt,icons/equipment/chest/breastplate-metal-scaled-grey.webp
Adamantine Half Plate Armor,icons/equipment/chest/breastplate-layered-steel-black.webp
Adamantine Plate Armor,icons/equipment/chest/breastplate-cuirass-steel-grey.webp
Adamantine Ring Mail,icons/equipment/chest/breastplate-metal-scaled-grey.webp
Adamantine Scale Mail,icons/equipment/chest/breastplate-metal-scaled-grey.webp
Adamantine Splint Armor,icons/equipment/chest/breastplate-layered-steel.webp
Additional Fighting Style,icons/skills/melee/weapons-crossed-swords-purple.webp
Additional Magical Secrets,icons/sundries/documents/document-torn-diagram-tan.webp
Adhesive,icons/creatures/slimes/slime-movement-dripping-pseudopods-green.webp
Aggressive,icons/creatures/abilities/mouth-teeth-tongue-purple.webp
Aid,systems/dnd5e/icons/spells/heal-sky-1.jpg
Air Form,systems/dnd5e/icons/spells/wind-grasp-air-3.jpg
Alarm,systems/dnd5e/icons/spells/runes-royal-1.jpg
Alchemist's Fire,icons/consumables/potions/bottle-round-corked-yellow.webp
Alchemist's Supplies,icons/containers/bags/pouch-leather-green.webp
Alchemy Jug,icons/containers/kitchenware/jug-terracotta-orange.webp
Alms Box,icons/sundries/misc/piggybank.webp
Alter Self,systems/dnd5e/icons/spells/wind-grasp-acid-2.jpg
